"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"01003","Baldwin County, AL",".",".",".",".","0.06","0.057",".",".",".","17","7.9",".",".","."
"01027","Clay County, AL",".",".",".",".",".",".",".",".",".","14","6.7",".",".","."
"01049","DeKalb County, AL",".",".",".",".","0.07","0.057",".",".",".","17","7.1",".",".","."
"01051","Elmore County, AL",".",".",".",".","0.06","0.048",".",".",".",".",".",".",".","."
"01055","Etowah County, AL",".",".",".",".","0.06","0.053",".",".",".","23","7.9",".",".","."
"01073","Jefferson County, AL","1.8","1.3","44","11","0.08","0.062","12","3","1","25","10.1","83","26","."
"01089","Madison County, AL",".",".",".",".","0.06","0.057",".",".",".","17","7.1","37","13","."
"01097","Mobile County, AL",".",".",".",".","0.07","0.054","11","4","1","16","8",".",".","."
"01101","Montgomery County, AL",".",".",".",".","0.06","0.053",".",".",".","15","8","25","14","."
"01103","Morgan County, AL",".",".",".",".","0.06","0.057",".",".",".","15","6.9",".",".","."
"01109","Pike County, AL",".",".",".",".",".",".",".",".",".",".",".",".",".","0.17"
"01113","Russell County, AL",".",".",".",".","0.06","0.054",".",".",".","21","8.6",".",".","."
"01117","Shelby County, AL",".",".",".",".","0.07","0.059","37","9","1",".",".",".",".","."
"01119","Sumter County, AL",".",".",".",".","0.06","0.051","3","1","0",".",".",".",".","."
"01125","Tuscaloosa County, AL",".",".",".",".","0.06","0.052",".",".",".","17","7.5",".",".","."
"02020","Anchorage Borough, AK","4","3",".",".",".",".",".",".",".","22","5.9","77","14","."
"02068","Denali Borough, AK",".",".",".",".","0.06","0.051",".",".",".",".",".",".",".","."
"02090","Fairbanks North Star Borough, AK","2.5","1.7",".",".",".",".","30","17","4","71","12","43","15","."
"02110","Juneau Borough, AK",".",".",".",".",".",".",".",".",".","17","4.8","34","5","."
"02170","Matanuska-Susitna Borough, AK",".",".",".",".",".",".",".",".",".","24","4.6","77","8","."
"04001","Apache County, AZ",".",".",".",".",".",".",".",".",".",".",".","43","16","."
"04003","Cochise County, AZ",".",".",".",".","0.08","0.066",".",".",".",".",".","136","29","."
"04005","Coconino County, AZ",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"04007","Gila County, AZ",".",".",".",".","0.1","0.081","70","13","2",".",".","74","21","0.03"
"04012","La Paz County, AZ",".",".",".",".","0.07","0.064",".",".",".","11","4.2","148","16","."
"04013","Maricopa County, AZ","3.5","2.6","57","25","0.11","0.087","7","2","1","34","10.5","199","58","."
"04015","Mohave County, AZ",".",".",".",".",".",".",".",".",".",".",".","127","21","."
"04017","Navajo County, AZ",".",".",".",".","0.09","0.067",".",".",".",".",".","45","14","."
"04019","Pima County, AZ","1.6","0.8","37","8","0.09","0.072","1","0","0","14","6.2","211","53","."
"04021","Pinal County, AZ",".",".",".",".","0.1","0.08",".",".",".","47","17.2","624","88","."
"04023","Santa Cruz County, AZ",".",".",".",".",".",".",".",".",".","32","10.2","128","41","."
"04025","Yavapai County, AZ",".",".",".",".","0.07","0.066",".",".",".",".",".",".",".","."
"04027","Yuma County, AZ",".",".",".",".","0.08","0.067",".",".",".","23","9.1","179","41","."
"05001","Arkansas County, AR",".",".",".",".",".",".",".",".",".","17","7.2",".",".","."
"05003","Ashley County, AR",".",".",".",".",".",".",".",".",".","18","7.6",".",".","."
"05019","Clark County, AR",".",".",".",".","0.06","0.052",".",".",".",".",".",".",".","."
"05035","Crittenden County, AR",".",".","36","7","0.08","0.069",".",".",".","17","7.5",".",".","."
"05051","Garland County, AR",".",".",".",".",".",".",".",".",".","18","8",".",".","."
"05101","Newton County, AR",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"05113","Polk County, AR",".",".",".",".","0.07","0.058",".",".",".","21","7.2",".",".","."
"05119","Pulaski County, AR","1.1","0.9","36","7","0.07","0.064","5","2","1","23","9.9","35","15","."
"05139","Union County, AR",".",".",".",".",".",".",".",".",".","20","8.4",".",".","."
"05143","Washington County, AR",".",".",".",".","0.06","0.055",".",".",".","16","6.9","33","15","."
"06001","Alameda County, CA","3.5","2.1","48","14","0.1","0.071","5","2","0","65","11.8",".",".","."
"06005","Amador County, CA",".",".",".",".","0.1","0.065",".",".",".",".",".",".",".","."
"06007","Butte County, CA","7.2","3.6","27","5","0.1","0.074",".",".",".","92","16","325","36","."
"06009","Calaveras County, CA",".",".",".",".","0.1","0.073",".",".",".","97","12.6","162","24","."
"06011","Colusa County, CA",".",".",".",".","0.08","0.052",".",".",".",".",".","210","36","."
"06013","Contra Costa County, CA","2.7","1.8","34","7","0.1","0.069","14","4","2","66","11.1","43","20","."
"06017","El Dorado County, CA",".",".",".",".","0.11","0.086",".",".",".",".",".","169","18","."
"06019","Fresno County, CA","4.1","2.4","54","20","0.13","0.09","5","2","0","124","20.3","320","60","."
"06021","Glenn County, CA",".",".",".",".","0.07","0.056",".",".",".",".",".","152","28","."
"06023","Humboldt County, CA","1.7","1.5","16","2","0.05","0.04","1","1","0",".",".","131","20","."
"06025","Imperial County, CA","4.6","2.7","51","10","0.11","0.08","7","2","0","24","9.8","190","53","."
"06027","Inyo County, CA","2.1","1.4",".",".","0.1","0.072","1","0","0","124","11.8","526","37","."
"06029","Kern County, CA","1.6","1.4","53","13","0.13","0.101",".",".",".","144","22.5","236","59","."
"06031","Kings County, CA",".",".","44","9","0.1","0.084",".",".",".","87","19.9","323","67","."
"06033","Lake County, CA",".",".",".",".","0.07","0.059",".",".",".","85","9.3","114","20","."
"06037","Los Angeles County, CA","3.7","2.8","86","23","0.17","0.124","3","1","0","53","15.9","169","29","0.02"
"06039","Madera County, CA",".",".","29","6","0.11","0.085",".",".",".","88","19.1","314","49","."
"06041","Marin County, CA","2","1.6","36","8","0.07","0.06",".",".",".","41","8.6","39","16","."
"06043","Mariposa County, CA",".",".",".",".","0.11","0.091",".",".",".",".",".","484","33","."
"06045","Mendocino County, CA",".",".",".",".","0.09","0.059",".",".",".","62","12.4","187","15","."
"06047","Merced County, CA",".",".","31","7","0.1","0.079",".",".",".","78","15.5","123","41","."
"06051","Mono County, CA",".",".",".",".",".",".",".",".",".","466","42.1","1955","73","."
"06053","Monterey County, CA","1.6","1.2","25","4","0.07","0.057",".",".",".","64","8.8","218","27","."
"06055","Napa County, CA","3.8","2.2","26","5","0.09","0.06",".",".",".","57","10.4","81","18","."
"06057","Nevada County, CA",".",".",".",".","0.09","0.08",".",".",".",".",".",".",".","."
"06059","Orange County, CA","2.3","1.8","53","19","0.15","0.09",".",".",".","45","12.4","120","26","."
"06061","Placer County, CA",".",".",".","6","0.11","0.083",".",".",".","93","12.4","213","27","."
"06063","Plumas County, CA",".",".",".",".",".",".",".",".",".","76","21.4",".",".","."
"06065","Riverside County, CA","1.8","1.5","54","15","0.14","0.104","2","1","0","44","15","298","55","."
"06067","Sacramento County, CA","2.3","2","46","11","0.1","0.078","3","1","0","123","16.1","231","32","."
"06069","San Benito County, CA",".",".",".",".","0.09","0.069",".",".",".","59","8.9","116","23","."
"06071","San Bernardino County, CA","5.3","1.4","78","29","0.16","0.125","5","3","1","43","15.2","205","41","."
"06073","San Diego County, CA","3.1","1.7","49","14","0.11","0.082","1","0","0","75","20.5","158","52","0.02"
"06075","San Francisco County, CA","1.7","1.5","41","9","0.07","0.048",".",".",".","40","10.5","58","22","."
"06077","San Joaquin County, CA","2.6","1.7","54","11","0.09","0.068",".",".",".","92","14.8","226","38","."
"06079","San Luis Obispo County, CA",".",".","26","4","0.09","0.08","2","1","0","63","9.8","280","28","."
"06081","San Mateo County, CA","1.8","1.5","38","8","0.09","0.054",".",".",".","46","9.8",".",".","."
"06083","Santa Barbara County, CA","2.4","1","28","5","0.1","0.072","3","2","0","37","9.3","103","25","."
"06085","Santa Clara County, CA","2.1","1.8","49","14","0.1","0.069","2","1","0","56","12.5","91","25","."
"06087","Santa Cruz County, CA",".",".",".",".","0.07","0.048",".",".",".","88","11",".",".","."
"06089","Shasta County, CA",".",".",".",".","0.09","0.069",".",".",".",".",".","100","23","."
"06093","Siskiyou County, CA",".",".",".",".","0.07","0.06",".",".",".","85","10.9",".",".","."
"06095","Solano County, CA","2.2","1.7","42","7","0.09","0.066","4","2","1","52","12",".",".","."
"06097","Sonoma County, CA","1.6","1.6","25","4","0.07","0.052",".",".",".","34","8.3","125","16","."
"06099","Stanislaus County, CA","2.2","1.8","41","9","0.1","0.08",".",".",".","87","15.5","216","42","."
"06101","Sutter County, CA",".",".","38","6","0.1","0.083",".",".",".",".",".","246","27","."
"06103","Tehama County, CA",".",".",".",".","0.09","0.074",".",".",".","87","13.2","151","24","."
"06107","Tulare County, CA",".",".","48","9","0.12","0.095",".",".",".",".",".","270","60","."
"06109","Tuolumne County, CA",".",".",".",".","0.09","0.08",".",".",".",".",".",".",".","."
"06111","Ventura County, CA",".",".","34","7","0.1","0.085",".",".",".","32","7.9","162","25","."
"06113","Yolo County, CA",".",".","24","4","0.09","0.066",".",".",".",".",".",".",".","."
"08001","Adams County, CO","1.8","1.2","57","16","0.09","0.078","6","2","1",".",".","100","35","."
"08005","Arapahoe County, CO",".",".",".",".","0.1","0.083",".",".",".","24","6",".",".","."
"08007","Archuleta County, CO",".",".",".","3","0.07","0.066",".",".",".",".",".","59","20","."
"08013","Boulder County, CO",".",".",".",".","0.09","0.076",".",".",".","52","10.1","74","26","."
"08029","Delta County, CO",".",".","11","2","0.07","0.061",".",".",".","20","5.2","42","9","."
"08031","Denver County, CO","3","1.7","71","25","0.09","0.078","7","3","1","40","10.5","104","34","."
"08035","Douglas County, CO",".",".",".",".","0.1","0.083",".",".",".","42","7",".",".","."
"08041","El Paso County, CO","1.7","1.1",".",".","0.09","0.079","9","4","1","21","6","50","20","."
"08045","Garfield County, CO",".",".","18","3","0.08","0.069",".",".",".",".",".",".",".","."
"08047","Gilpin County, CO",".",".",".",".","0.09","0.077",".",".",".",".",".",".",".","."
"08051","Gunnison County, CO",".",".",".",".","0.07","0.066",".",".",".",".",".",".",".","."
"08059","Jefferson County, CO",".",".","25","2","0.1","0.087",".",".",".",".",".",".",".","."
"08067","La Plata County, CO","1.9","0.4","21","5","0.08","0.066",".",".",".","34","5.7","65","13","."
"08069","Larimer County, CO","1.7","1.1",".",".","0.09","0.075",".",".",".","47","8.1",".",".","."
"08077","Mesa County, CO",".",".",".",".","0.08","0.065",".",".",".","20","6.1","50","20","."
"08083","Montezuma County, CO",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"08099","Prowers County, CO",".",".",".",".",".",".",".",".",".",".",".","307","26","."
"08103","Rio Blanco County, CO",".",".","26","2","0.08","0.065",".",".",".","23","8.4",".",".","."
"08107","Routt County, CO",".",".",".",".",".",".",".",".",".",".",".","69","17","."
"08113","San Miguel County, CO",".",".",".",".",".",".",".",".",".",".",".","59","16","."
"08123","Weld County, CO","1.4","0.7",".",".","0.08","0.072",".",".",".","37","9.8",".",".","."
"09001","Fairfield County, CT",".",".","39","8","0.11","0.077","3","1","0","25","8.1","48","15","."
"09003","Hartford County, CT","1.9","1.3","42","12","0.09","0.064",".",".",".","20","7.8","45","14","."
"09005","Litchfield County, CT","1.7","0.4",".",".","0.08","0.063","1","1","0","14","5.8","29","10","."
"09007","Middlesex County, CT",".",".",".",".","0.09","0.069",".",".",".",".",".",".",".","."
"09009","New Haven County, CT","1.9","1.3","45","11","0.1","0.08","2","1","0","28","8.2","66","19","."
"09011","New London County, CT",".",".",".",".","0.09","0.071",".",".",".","17","6.9","59","12","."
"09013","Tolland County, CT",".",".",".",".","0.09","0.063",".",".",".",".",".",".",".","."
"09015","Windham County, CT",".",".",".",".","0.08","0.062",".",".",".",".",".",".",".","."
"10001","Kent County, DE",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"10003","New Castle County, DE","1.8","1.3","42","9","0.08","0.063","9","2","1","21","8.5",".",".","."
"10005","Sussex County, DE",".",".",".",".","0.07","0.06","2","0","0","16","7.2",".",".","."
"11001","District of Columbia","2.2","1.8","45","12","0.08","0.063","4","3","1","27","7.8","46","15","."
"12001","Alachua County, FL",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"12003","Baker County, FL",".",".",".",".","0.06","0.055",".",".",".",".",".",".",".","."
"12005","Bay County, FL",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"12009","Brevard County, FL",".",".",".",".","0.07","0.058",".",".",".","17","7.9","85","18","."
"12011","Broward County, FL","2.1","1.3","39","13","0.08","0.067","1","1","1","18","9.3","79","17","."
"12017","Citrus County, FL",".",".",".",".",".",".","37","3","1",".",".",".",".","."
"12021","Collier County, FL",".",".",".",".","0.07","0.057",".",".",".",".",".",".",".","."
"12031","Duval County, FL","1.4","1.1","37","10","0.07","0.057","16","2","1","18","8.3","98","20","."
"12033","Escambia County, FL",".",".",".",".","0.07","0.058","4","1","0","20","9.7",".",".","."
"12035","Flagler County, FL",".",".",".",".","0.06","0.053",".",".",".",".",".",".",".","."
"12047","Hamilton County, FL",".",".",".",".",".",".","8","2","1",".",".",".",".","."
"12055","Highlands County, FL",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"12057","Hillsborough County, FL","1.1","0.9","35","9","0.08","0.065","42","12","1","18","8.4","57","24","0.09"
"12059","Holmes County, FL",".",".",".",".","0.06","0.055",".",".",".",".",".",".",".","."
"12061","Indian River County, FL",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"12069","Lake County, FL",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"12071","Lee County, FL",".",".",".",".","0.07","0.061",".",".",".",".",".","57","16","."
"12073","Leon County, FL",".",".",".",".","0.07","0.055",".",".",".","18","7.5",".",".","."
"12077","Liberty County, FL",".",".",".",".","0.06","0.054",".",".",".",".",".",".",".","."
"12081","Manatee County, FL",".",".",".",".","0.07","0.059","7","1","0",".",".",".",".","."
"12083","Marion County, FL",".",".",".",".","0.08","0.061",".",".",".",".",".",".",".","."
"12085","Martin County, FL",".",".",".",".","0.06","0.057",".",".",".",".",".",".",".","."
"12086","Miami-Dade County, FL","2","0.9","34","9","0.07","0.06","1","1","0","14","6.5",".",".","."
"12089","Nassau County, FL",".",".",".",".",".",".","60","14","2",".",".",".",".","."
"12091","Okaloosa County, FL",".",".",".",".","0.07","0.056",".",".",".",".",".","55","16","."
"12095","Orange County, FL","1.1","0.9",".","3","0.07","0.062","4","3","1","17","6.8","41","14","."
"12097","Osceola County, FL",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"12099","Palm Beach County, FL",".",".",".",".","0.08","0.059",".",".",".","21","7.3","87","22","."
"12101","Pasco County, FL",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"12103","Pinellas County, FL","1","0.8","27","8","0.08","0.064","6","3","1","18","7.9","60","18","."
"12105","Polk County, FL",".",".",".",".","0.07","0.062","13","2","1","19","8.4","47","17","."
"12107","Putnam County, FL",".",".",".",".",".",".","8","3","1",".",".","47","18","."
"12111","St. Lucie County, FL",".",".",".",".","0.06","0.058",".",".",".",".",".",".",".","."
"12113","Santa Rosa County, FL",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"12115","Sarasota County, FL",".",".",".",".","0.07","0.06",".",".",".",".",".","56","17","."
"12117","Seminole County, FL",".",".",".",".","0.07","0.06",".",".",".","16","7.3","43","15","."
"12127","Volusia County, FL",".",".",".",".","0.07","0.059",".",".",".","17","8.1","50","19","."
"12129","Wakulla County, FL","0.8","0.4",".",".","0.06","0.055","1","1","0",".",".",".",".","."
"13021","Bibb County, GA",".",".",".",".","0.07","0.054","2","1","0","18","8.5",".",".","."
"13051","Chatham County, GA",".",".",".",".","0.07","0.054","64","19","1","18","8.9",".",".","."
"13055","Chattooga County, GA",".",".",".",".","0.06","0.052",".",".",".",".",".",".",".","."
"13059","Clarke County, GA",".",".",".",".","0.06","0.056",".",".",".","20","8.4",".",".","."
"13063","Clayton County, GA",".",".",".",".",".",".",".",".",".","24","8.1",".",".","."
"13067","Cobb County, GA",".",".",".",".","0.07","0.056",".",".",".","24","8.2",".",".","."
"13069","Coffee County, GA",".",".",".",".",".",".",".",".",".","16","6.8",".",".","."
"13073","Columbia County, GA",".",".",".",".","0.06","0.052",".",".",".",".",".",".",".","."
"13085","Dawson County, GA",".",".",".",".","0.07","0.057",".",".",".",".",".",".",".","."
"13089","DeKalb County, GA","1.5","1.4","42","14","0.08","0.061","2","2","0","22","8.9","68","17","."
"13095","Dougherty County, GA",".",".",".",".",".",".",".",".",".","28","10.4",".",".","."
"13097","Douglas County, GA",".",".",".",".","0.07","0.056",".",".",".",".",".",".",".","."
"13115","Floyd County, GA",".",".",".",".",".",".","11","3","1",".",".",".",".","."
"13121","Fulton County, GA","2.2","1.8","41","16","0.08","0.063","3","2","1","25","9.5","33","15","."
"13127","Glynn County, GA",".",".",".",".","0.06","0.052",".",".",".",".",".",".",".","."
"13135","Gwinnett County, GA",".",".",".",".","0.08","0.066",".",".",".","21","8.3",".",".","."
"13139","Hall County, GA",".",".",".",".",".",".",".",".",".","19","8.7",".",".","."
"13151","Henry County, GA",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"13153","Houston County, GA",".",".",".",".",".",".",".",".",".","21","9.5",".",".","."
"13185","Lowndes County, GA",".",".",".",".",".",".",".",".",".","18","7.9",".",".","."
"13213","Murray County, GA",".",".",".",".","0.06","0.057",".",".",".",".",".",".",".","."
"13215","Muscogee County, GA",".",".",".",".","0.06","0.053",".",".",".","23","8.4",".",".","0.01"
"13231","Pike County, GA",".",".",".",".","0.06","0.054",".",".",".",".",".",".",".","."
"13245","Richmond County, GA",".",".",".",".","0.07","0.056","58","8","1","23","10.7","39","11","."
"13247","Rockdale County, GA",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"13261","Sumter County, GA",".",".",".",".","0.06","0.054",".",".",".",".",".",".",".","."
"13303","Washington County, GA",".",".",".",".",".",".",".",".",".","21","8.7",".",".","."
"15001","Hawaii County, HI",".",".",".",".",".",".","274","76","3","11","3.5",".",".","."
"15003","Honolulu County, HI","0.9","0.6","26","3","0.05","0.045","57","13","1","7","3.9","38","12","."
"15007","Kauai County, HI",".",".","34","3",".",".","4","4","1",".",".",".",".","."
"15009","Maui County, HI",".",".",".",".",".",".",".",".",".","7","3.9",".",".","."
"16001","Ada County, ID","2.5","1.5","43","10","0.08","0.065","2","1","0","37","7.7","115","24","."
"16005","Bannock County, ID",".",".",".",".","0.08","0.065","47","20","5",".",".","114","22","."
"16009","Benewah County, ID",".",".",".",".",".",".",".",".",".","73","10.8",".",".","."
"16017","Bonner County, ID",".",".",".",".",".",".",".",".",".",".",".","291","18","."
"16023","Butte County, ID",".",".",".",".","0.08","0.066",".",".",".",".",".",".",".","."
"16027","Canyon County, ID",".",".",".",".",".",".",".",".",".","49","10.6","142","27","."
"16029","Caribou County, ID",".",".",".",".",".",".","44","16","3",".",".",".",".","."
"16041","Franklin County, ID",".",".",".",".",".",".",".",".",".","26","6.4",".",".","."
"16049","Idaho County, ID",".",".",".",".","0.06","0.054",".",".",".",".",".",".",".","."
"16059","Lemhi County, ID",".",".",".",".",".",".",".",".",".","38","10.8",".",".","."
"16079","Shoshone County, ID",".",".",".",".",".",".",".",".",".","34","11.1","236","17","."
"17001","Adams County, IL",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"17019","Champaign County, IL","0.2","0.1",".",".","0.08","0.069","3","1","0","17","7.5",".",".","."
"17023","Clark County, IL",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"17031","Cook County, IL","1.7","1.1","50","16","0.1","0.079","14","4","2","23","10.8","149","37","."
"17043","DuPage County, IL",".",".",".",".","0.09","0.073",".",".",".","21","9.1",".",".","."
"17065","Hamilton County, IL",".",".",".",".","0.07","0.067",".",".",".","17","8.8",".",".","."
"17083","Jersey County, IL",".",".",".",".","0.08","0.062",".",".",".","17","7.5",".",".","."
"17085","Jo Daviess County, IL",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"17089","Kane County, IL",".",".",".",".","0.09","0.073",".",".",".","33","8",".",".","."
"17097","Lake County, IL",".",".",".",".","0.09","0.076",".",".",".",".",".",".",".","."
"17099","La Salle County, IL",".",".",".",".",".",".","8","2","0",".",".",".",".","."
"17111","McHenry County, IL",".",".",".",".","0.09","0.076",".",".",".","17","8.2",".",".","."
"17113","McLean County, IL",".",".",".",".","0.08","0.07",".",".",".","19","8.6",".",".","."
"17115","Macon County, IL",".",".",".",".","0.07","0.065","39","17","2","18","8.6",".",".","."
"17117","Macoupin County, IL",".",".","16","2","0.07","0.063","3","1","0",".",".",".",".","."
"17119","Madison County, IL",".",".",".",".","0.09","0.069","7","3","1","26","10.9","73","32","0.12"
"17133","Monroe County, IL",".",".",".",".",".",".","10","2","0",".",".",".",".","."
"17143","Peoria County, IL",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"17157","Randolph County, IL",".",".",".",".","0.07","0.061",".",".",".","19","8.3",".",".","."
"17161","Rock Island County, IL",".",".",".",".","0.07","0.063",".",".",".","18","8.1",".",".","."
